"Estacion","Fecha inicial","Fecha final","PM2.5"
"CAJICA - UMNG","2026-01-31","","13.73"
"CAJICA - UMNG","2026-01-30","","13.37916667"
"CAJICA - UMNG","2026-01-29","","21.45375"
"CAJICA - UMNG","2026-01-28","","21.23625"
"CAJICA - UMNG","2026-01-27","","25.66291667"
"CAJICA - UMNG","2026-01-26","","19.53208333"
"CAJICA - UMNG","2026-01-25","","19.14083333"
"CAJICA - UMNG","2026-01-24","","18.56583333"
"CAJICA - UMNG","2026-01-23","","21.48666667"
"CAJICA - UMNG","2026-01-22","","20.23291667"
"CAJICA - UMNG","2026-01-21","","25.01208333"
"CAJICA - UMNG","2026-01-20","","18.97958333"
"CAJICA - UMNG","2026-01-19","","19.23958333"
"CAJICA - UMNG","2026-01-18","","7.82916667"
"CAJICA - UMNG","2026-01-17","","8.89166667"
"CAJICA - UMNG","2026-01-16","","8.45958333"
"CAJICA - UMNG","2026-01-15","","5.77791667"
"CAJICA - UMNG","2026-01-14","","8.91583333"
"CAJICA - UMNG","2026-01-13","","8.64291667"
"CAJICA - UMNG","2026-01-12","","7.58041667"
"CAJICA - UMNG","2026-01-11","","13.40458333"
"CAJICA - UMNG","2026-01-10","","18.25791667"
"CAJICA - UMNG","2026-01-09","","17.67541667"
"CAJICA - UMNG","2026-01-08","","14.75375"
"CAJICA - UMNG","2026-01-07","","17.305"
"CAJICA - UMNG","2026-01-06","","21.66347826"
"CAJICA - UMNG","2025-12-26","","18.344"
"CAJICA - UMNG","2025-12-25","","14.07823529"
"CAJICA - UMNG","2025-12-24","","19.2873913"
"CAJICA - UMNG","2025-12-23","","14.81125"
"CAJICA - UMNG","2025-12-22","","14.58416667"
"CAJICA - UMNG","2025-12-21","","15.47916667"
"CAJICA - UMNG","2025-12-20","","19.6275"
"CAJICA - UMNG","2025-12-19","","19.57541667"
"CAJICA - UMNG","2025-12-18","","18.06666667"
"CAJICA - UMNG","2025-12-17","","22.16208333"
"CAJICA - UMNG","2025-12-16","","22.24434783"
"CAJICA - UMNG","2025-12-15","","22.37291667"
"CAJICA - UMNG","2025-12-14","","17.23913043"
"CAJICA - UMNG","2025-12-13","","14.28913043"
"CAJICA - UMNG","2025-12-12","","9.3825"
"CAJICA - UMNG","2025-12-11","","9.90833333"
"CAJICA - UMNG","2025-12-10","","12.42166667"
"CAJICA - UMNG","2025-12-09","","14.25458333"
"CAJICA - UMNG","2025-12-08","","24.23956522"
"CAJICA - UMNG","2025-12-07","","14.36208333"
"CAJICA - UMNG","2025-12-06","","14.45"
"CAJICA - UMNG","2025-12-05","","12.92375"
"CAJICA - UMNG","2025-12-04","","12.11833333"
"CAJICA - UMNG","2025-12-03","","9.05041667"
"CAJICA - UMNG","2025-12-02","","17.44958333"
"CAJICA - UMNG","2025-12-01","","18.11958333"
"CAJICA - UMNG","2025-11-30","","15.15"
"CAJICA - UMNG","2025-11-29","","16.44916667"
"CAJICA - UMNG","2025-11-28","","13.02333333"
"CAJICA - UMNG","2025-11-27","","7.08291667"
"CAJICA - UMNG","2025-11-26","","6.83125"
"CAJICA - UMNG","2025-11-25","","10.58375"
"CAJICA - UMNG","2025-11-24","","11.31583333"
"CAJICA - UMNG","2025-11-23","","8.84708333"
"CAJICA - UMNG","2025-11-22","","17.95125"
"CAJICA - UMNG","2025-11-21","","20.63791667"
"CAJICA - UMNG","2025-11-20","","14.70166667"
"CAJICA - UMNG","2025-11-19","","7.80708333"
"CAJICA - UMNG","2025-11-18","","12.70416667"
"CAJICA - UMNG","2025-11-17","","10.95916667"
"CAJICA - UMNG","2025-11-16","","8.60809524"
"CAJICA - UMNG","2025-11-14","","8.99625"
"CAJICA - UMNG","2025-11-13","","8.02666667"
"CAJICA - UMNG","2025-11-12","","11.62166667"
"CAJICA - UMNG","2025-11-11","","13.26916667"
"CAJICA - UMNG","2025-11-09","","11.915"
"CAJICA - UMNG","2025-11-08","","16.63958333"
"CAJICA - UMNG","2025-11-07","","16.25291667"
"CAJICA - UMNG","2025-11-06","","11.225"
"CAJICA - UMNG","2025-11-05","","10.35333333"
"CAJICA - UMNG","2025-11-04","","12.275"
"CAJICA - UMNG","2025-11-03","","13.73125"
"CAJICA - UMNG","2025-11-02","","9.365"
"CAJICA - UMNG","2025-11-01","","13.45291667"
"CAJICA - UMNG","2025-10-31","","10.95375"
"CAJICA - UMNG","2025-10-30","","12.905"
"CAJICA - UMNG","2025-10-29","","17.82833333"
"CAJICA - UMNG","2025-10-28","","14.17583333"
"CAJICA - UMNG","2025-10-27","","10.72"
"CAJICA - UMNG","2025-10-26","","6.25916667"
"CAJICA - UMNG","2025-10-25","","12.04208333"
"CAJICA - UMNG","2025-10-24","","9.93958333"
"CAJICA - UMNG","2025-10-23","","18.0947619"
"CAJICA - UMNG","2025-10-22","","11.58166667"
"CAJICA - UMNG","2025-10-21","","13.3975"
"CAJICA - UMNG","2025-10-20","","10.6125"
"CAJICA - UMNG","2025-10-19","","15.24708333"
"CAJICA - UMNG","2025-10-18","","7.73708333"
"CAJICA - UMNG","2025-10-17","","13.41875"
"CAJICA - UMNG","2025-10-16","","13.02416667"
"CAJICA - UMNG","2025-10-15","","14.40833333"
