"Estacion","Fecha inicial","Fecha final","PM2.5"
"CAJICA - UMNG","2026-05-27 01:00","2026-05-27 01:59","5.22"
"CAJICA - UMNG","2026-05-27 00:00","2026-05-27 00:59","5.3"
"CAJICA - UMNG","2026-05-26 23:00","2026-05-26 23:59","6.81"
"CAJICA - UMNG","2026-05-26 22:00","2026-05-26 22:59","6.52"
"CAJICA - UMNG","2026-05-26 21:00","2026-05-26 21:59","4.8"
"CAJICA - UMNG","2026-05-26 20:00","2026-05-26 20:59","3.22"
"CAJICA - UMNG","2026-05-26 19:00","2026-05-26 19:59","1.49"
"CAJICA - UMNG","2026-05-26 18:00","2026-05-26 18:59","1.04"
"CAJICA - UMNG","2026-05-26 17:00","2026-05-26 17:59","0.95"
"CAJICA - UMNG","2026-05-26 16:00","2026-05-26 16:59","0.87"
"CAJICA - UMNG","2026-05-26 15:00","2026-05-26 15:59","1.21"
"CAJICA - UMNG","2026-05-26 14:00","2026-05-26 14:59","1.61"
"CAJICA - UMNG","2026-05-26 13:00","2026-05-26 13:59","2.12"
"CAJICA - UMNG","2026-05-26 12:00","2026-05-26 12:59","3.04"
"CAJICA - UMNG","2026-05-26 11:00","2026-05-26 11:59","3.78"
"CAJICA - UMNG","2026-05-26 10:00","2026-05-26 10:59","4.68"
"CAJICA - UMNG","2026-05-26 09:00","2026-05-26 09:59","6.66"
"CAJICA - UMNG","2026-05-26 08:00","2026-05-26 08:59","6.95"
"CAJICA - UMNG","2026-05-26 07:00","2026-05-26 07:59","5.98"
"CAJICA - UMNG","2026-05-26 06:00","2026-05-26 06:59","6.38"
"CAJICA - UMNG","2026-05-26 05:00","2026-05-26 05:59","5.83"
"CAJICA - UMNG","2026-05-26 04:00","2026-05-26 04:59","5.84"
"CAJICA - UMNG","2026-05-26 03:00","2026-05-26 03:59","6.76"
"CAJICA - UMNG","2026-05-26 02:00","2026-05-26 02:59","5.06"
"CAJICA - UMNG","2026-05-26 01:00","2026-05-26 01:59","4.6"
"CAJICA - UMNG","2026-05-26 00:00","2026-05-26 00:59","6.02"
"CAJICA - UMNG","2026-05-25 23:00","2026-05-25 23:59","5.9"
"CAJICA - UMNG","2026-05-25 22:00","2026-05-25 22:59","5.74"
"CAJICA - UMNG","2026-05-25 21:00","2026-05-25 21:59","5.76"
"CAJICA - UMNG","2026-05-25 20:00","2026-05-25 20:59","4.44"
"CAJICA - UMNG","2026-05-25 19:00","2026-05-25 19:59","2.36"
"CAJICA - UMNG","2026-05-25 18:00","2026-05-25 18:59","1.45"
"CAJICA - UMNG","2026-05-25 17:00","2026-05-25 17:59","1.4"
"CAJICA - UMNG","2026-05-25 16:00","2026-05-25 16:59","1.19"
"CAJICA - UMNG","2026-05-25 15:00","2026-05-25 15:59","0.96"
"CAJICA - UMNG","2026-05-25 14:00","2026-05-25 14:59","1.01"
"CAJICA - UMNG","2026-05-25 13:00","2026-05-25 13:59","0.95"
"CAJICA - UMNG","2026-05-25 12:00","2026-05-25 12:59","0.83"
"CAJICA - UMNG","2026-05-25 11:00","2026-05-25 11:59","1.13"
"CAJICA - UMNG","2026-05-25 10:00","2026-05-25 10:59","2.49"
"CAJICA - UMNG","2026-05-25 09:00","2026-05-25 09:59","3.83"
"CAJICA - UMNG","2026-05-25 08:00","2026-05-25 08:59","5.36"
"CAJICA - UMNG","2026-05-25 07:00","2026-05-25 07:59","7.76"
"CAJICA - UMNG","2026-05-25 06:00","2026-05-25 06:59","9.49"
"CAJICA - UMNG","2026-05-25 05:00","2026-05-25 05:59","10.28"
"CAJICA - UMNG","2026-05-25 04:00","2026-05-25 04:59","9.9"
"CAJICA - UMNG","2026-05-25 03:00","2026-05-25 03:59","8.61"
"CAJICA - UMNG","2026-05-25 02:00","2026-05-25 02:59","5.38"
"CAJICA - UMNG","2026-05-25 01:00","2026-05-25 01:59","3.26"
"CAJICA - UMNG","2026-05-25 00:00","2026-05-25 00:59","3.96"
"CAJICA - UMNG","2026-05-24 23:00","2026-05-24 23:59","4.44"
"CAJICA - UMNG","2026-05-24 22:00","2026-05-24 22:59","4.17"
"CAJICA - UMNG","2026-05-24 21:00","2026-05-24 21:59","3.92"
"CAJICA - UMNG","2026-05-24 20:00","2026-05-24 20:59","5.65"
"CAJICA - UMNG","2026-05-24 19:00","2026-05-24 19:59","5.91"
"CAJICA - UMNG","2026-05-24 18:00","2026-05-24 18:59","2.9"
"CAJICA - UMNG","2026-05-24 17:00","2026-05-24 17:59","1.67"
"CAJICA - UMNG","2026-05-24 16:00","2026-05-24 16:59","2.01"
"CAJICA - UMNG","2026-05-24 15:00","2026-05-24 15:59","1.66"
"CAJICA - UMNG","2026-05-24 14:00","2026-05-24 14:59","1.87"
"CAJICA - UMNG","2026-05-24 13:00","2026-05-24 13:59","3.1"
"CAJICA - UMNG","2026-05-24 12:00","2026-05-24 12:59","5.0"
"CAJICA - UMNG","2026-05-24 11:00","2026-05-24 11:59","8.12"
"CAJICA - UMNG","2026-05-24 10:00","2026-05-24 10:59","11.98"
"CAJICA - UMNG","2026-05-24 09:00","2026-05-24 09:59","13.38"
"CAJICA - UMNG","2026-05-24 08:00","2026-05-24 08:59","12.81"
"CAJICA - UMNG","2026-05-24 07:00","2026-05-24 07:59","10.73"
"CAJICA - UMNG","2026-05-24 06:00","2026-05-24 06:59","8.42"
"CAJICA - UMNG","2026-05-24 05:00","2026-05-24 05:59","7.95"
"CAJICA - UMNG","2026-05-24 04:00","2026-05-24 04:59","7.55"
"CAJICA - UMNG","2026-05-24 03:00","2026-05-24 03:59","7.83"
"CAJICA - UMNG","2026-05-24 02:00","2026-05-24 02:59","7.99"
"CAJICA - UMNG","2026-05-24 01:00","2026-05-24 01:59","6.4"
"CAJICA - UMNG","2026-05-24 00:00","2026-05-24 00:59","5.7"
"CAJICA - UMNG","2026-05-23 23:00","2026-05-23 23:59","6.75"
"CAJICA - UMNG","2026-05-23 22:00","2026-05-23 22:59","8.16"
"CAJICA - UMNG","2026-05-23 21:00","2026-05-23 21:59","8.03"
"CAJICA - UMNG","2026-05-23 20:00","2026-05-23 20:59","5.29"
"CAJICA - UMNG","2026-05-23 19:00","2026-05-23 19:59","3.2"
"CAJICA - UMNG","2026-05-23 18:00","2026-05-23 18:59","2.27"
"CAJICA - UMNG","2026-05-23 17:00","2026-05-23 17:59","1.81"
"CAJICA - UMNG","2026-05-23 16:00","2026-05-23 16:59","1.62"
"CAJICA - UMNG","2026-05-23 15:00","2026-05-23 15:59","1.21"
"CAJICA - UMNG","2026-05-23 14:00","2026-05-23 14:59","0.97"
"CAJICA - UMNG","2026-05-23 13:00","2026-05-23 13:59","0.85"
"CAJICA - UMNG","2026-05-23 12:00","2026-05-23 12:59","1.81"
"CAJICA - UMNG","2026-05-23 11:00","2026-05-23 11:59","3.26"
"CAJICA - UMNG","2026-05-23 10:00","2026-05-23 10:59","3.82"
"CAJICA - UMNG","2026-05-23 09:00","2026-05-23 09:59","4.04"
"CAJICA - UMNG","2026-05-23 08:00","2026-05-23 08:59","4.85"
"CAJICA - UMNG","2026-05-23 07:00","2026-05-23 07:59","5.64"
"CAJICA - UMNG","2026-05-23 06:00","2026-05-23 06:59","5.58"
"CAJICA - UMNG","2026-05-23 05:00","2026-05-23 05:59","4.33"
"CAJICA - UMNG","2026-05-23 04:00","2026-05-23 04:59","3.18"
"CAJICA - UMNG","2026-05-23 03:00","2026-05-23 03:59","4.31"
"CAJICA - UMNG","2026-05-23 02:00","2026-05-23 02:59","6.39"
"CAJICA - UMNG","2026-05-23 01:00","2026-05-23 01:59","6.39"
"CAJICA - UMNG","2026-05-23 00:00","2026-05-23 00:59","5.25"
"CAJICA - UMNG","2026-05-22 23:00","2026-05-22 23:59","4.99"
"CAJICA - UMNG","2026-05-22 22:00","2026-05-22 22:59","4.47"
"CAJICA - UMNG","2026-05-22 21:00","2026-05-22 21:59","3.47"
"CAJICA - UMNG","2026-05-22 20:00","2026-05-22 20:59","2.56"
"CAJICA - UMNG","2026-05-22 19:00","2026-05-22 19:59","2.34"
"CAJICA - UMNG","2026-05-22 18:00","2026-05-22 18:59","2.31"
"CAJICA - UMNG","2026-05-22 17:00","2026-05-22 17:59","1.94"
"CAJICA - UMNG","2026-05-22 16:00","2026-05-22 16:59","1.88"
"CAJICA - UMNG","2026-05-22 15:00","2026-05-22 15:59","1.56"
"CAJICA - UMNG","2026-05-22 14:00","2026-05-22 14:59","1.52"
"CAJICA - UMNG","2026-05-22 13:00","2026-05-22 13:59","1.74"
"CAJICA - UMNG","2026-05-22 12:00","2026-05-22 12:59","1.82"
"CAJICA - UMNG","2026-05-22 11:00","2026-05-22 11:59","2.06"
